gene,Var2,Var3,Var4,Var5,Var6,Var7
b2551,10.52710514,11.23070588,11.47173253,11.44694402,11.28163413,11.20883773
b0870,8.935268525,8.99416928,9.032791126,8.840696984,8.942003824,8.689265583
b3368,8.359636504,8.555448108,8.515488273,8.739031038,8.686828898,8.813763058
b2436,8.103236617,8.433712031,8.47280014,8.858610647,8.509165921,8.867860856
b0008,10.89222316,11.02365077,11.40032656,11.21028062,11.15044251,11.35299563
b3500,8.988241971,9.132560831,9.547247272,9.443164071,9.19401318,10.68212515
b2465,10.04777913,9.472847747,9.503353327,8.709106639,8.63861551,8.900717365
b0945,6.575758905,9.808376578,9.837686926,9.993515441,9.018751465,9.195732921
b3126,8.170923673,7.79831477,7.844928255,8.033388043,7.924764298,8.467798812
b2979,10.00850357,7.940551616,8.085098187,8.408521168,7.746991523,9.479409018
b3916,9.65890605,9.887266272,10.11844771,10.31728001,10.1433394,10.57659016
b1095,9.741667992,10.27047703,10.28181599,10.8539493,10.5603117,11.49523446
b1054,8.264036016,8.605454113,8.667086723,9.070165784,8.727806148,9.506929747
b1855,8.674078552,9.126302287,8.972984784,9.609612654,9.356736932,9.754906875
b1260,9.966921689,10.02825628,10.24053236,10.23539122,10.23833419,10.26115859
b2378,7.799863897,8.700410223,8.479199166,9.145573242,9.240991765,10.17988702
b0109,7.963640731,8.514120458,8.720180616,8.767566247,9.043155527,8.262920186
b1094,12.46325102,12.6769263,12.82940099,12.65928874,12.64253371,12.65297097
b2836,8.238464044,8.696299674,8.642188868,8.775598512,8.822601648,9.603355496
b2472,9.026975183,9.351251848,9.429151438,9.514046368,9.601209987,9.742635586
b2935,10.07394159,10.31993028,10.44255772,10.57737558,10.38670752,10.69478528
b1261,9.781533429,9.800287723,10.07010662,9.909853617,9.93508954,9.953956742
b3426,12.50219526,11.89918987,12.17272202,11.742869,11.82631488,11.88453039
b2242,10.81290714,9.589449147,9.659752542,8.465182497,8.051270512,9.200870666
b2243,11.01615114,9.803461115,9.353839448,8.428850388,8.370058853,9.150959946
b4054,9.550929813,9.655411738,9.897660771,10.02537891,10.27531091,10.09073104
b3770,8.601114353,9.559093422,9.893218463,10.10540181,10.0133551,11.11200985
b3281,9.461763809,9.939256149,9.806047631,10.19994083,10.04073114,10.91946388
b1692,7.238423199,7.566464331,7.576576482,8.03011213,7.430197937,8.706398443
b0243,9.419904375,9.526020512,9.654970531,9.720471058,9.884253709,10.0436604
b1590,7.544955586,7.913857222,7.854795829,8.218514592,7.917278365,9.285694093
b1613,8.873489837,9.149843008,9.196609144,9.010639659,9.254367182,8.550367362
b0414,8.214832366,8.486467044,8.545627324,8.776459958,8.437727861,9.184031791
b1588,7.607425623,7.833648638,7.799760816,8.044894681,7.939822952,8.832366638
b1587,6.886679556,7.189354035,7.298967941,7.502211176,7.194022954,7.931141703
b0896,7.020525057,7.335831806,7.571039641,7.763199874,7.508193177,8.22487929
b1589,6.970764236,7.510801387,7.605395624,7.880178173,7.716356203,8.904837056
b0895,7.481592551,7.645324642,7.547692209,7.929483536,7.719463011,9.016056693
b3041,9.007706826,9.983203555,9.703743403,10.4115945,10.93211607,11.96776137
b0025,9.171901675,9.672644739,9.535440621,9.89681775,9.906021115,9.915039708
b3553,8.553596802,9.216811179,9.589254884,9.669980655,9.845396527,9.641571081
b0678,9.699374707,9.263088829,9.91045061,8.620061981,8.683121161,8.359692827
b0844,7.825696057,8.500870224,8.588197888,8.832316425,8.743329553,9.283072432
b0446,9.286684762,9.158589481,9.11385416,9.211882818,9.345872301,9.973836715
b0638,7.531798365,7.87735123,7.88044001,8.314218111,8.012590049,9.09254804
b3812,8.087437783,8.705487055,8.745181413,9.116288604,8.935063742,9.750137084
b1662,9.135096108,10.2564583,10.23274197,10.33747903,10.53394315,9.693850478
b3399,8.86521926,8.851215417,8.852801678,9.057204847,8.635261228,9.439788255
b0421,8.832108119,8.958446719,9.25738574,9.205685022,9.079904672,8.468568248
b3804,9.098748161,9.137071762,9.158855934,9.463669441,9.126682434,9.602735227
b0469,8.880381741,9.844671279,9.848302291,10.56967431,10.13715534,10.70332175
b3997,8.688575775,8.911129116,8.925794586,9.219553114,8.945719292,9.482106938
b4382,8.562698999,8.616963984,8.86110229,8.960635653,8.249863299,9.930233256
b3187,9.637704574,9.944075047,9.986281357,10.41823568,10.38470984,10.65770641
b3222,8.504141877,8.398610769,8.506208145,8.811625876,8.132668518,9.462116535
b3225,9.569561021,7.98638202,8.093407435,8.023055908,7.897989431,8.441194326
b0126,10.79831193,11.62862256,11.73459785,11.65564324,11.67007191,11.36144369
b4269,7.770350871,7.768389253,7.902787829,7.970847081,7.648724079,8.52338087
b0339,7.612850832,7.997272875,8.032061111,8.347837461,7.777825278,9.541349245
b3942,9.660429408,9.216858213,9.484643125,9.884689122,9.725170221,10.49260189
b4006,8.110887088,9.284026862,9.659255015,10.08872345,9.634023104,10.58006507
b1732,9.68202899,9.310897517,9.468981608,9.459255542,9.323269423,10.06045812
b0493,8.509677398,8.77252848,8.842520729,9.107484967,9.279389112,9.439227927
b2508,9.654734227,10.39295326,10.74280109,11.07259472,10.63880008,11.38884139
b3846,9.674791579,8.691979858,9.320110126,8.491582575,7.983209957,9.694385925
b3588,10.81916544,8.864974712,9.043465516,8.627439152,7.956019963,9.554555483
b0586,10.20346245,10.02594268,10.33037626,9.470226051,9.438522595,8.972307827
b2341,9.308921834,8.658244495,8.812995677,8.059669895,7.930018907,8.709520928
b3794,7.753336256,8.147850179,8.323231096,8.741523333,8.512733198,9.671925294
b2400,9.368763587,9.798857117,9.944001737,10.07848392,10.03659563,10.39008856
b3003,8.463171877,8.468176309,8.551059225,8.26701943,8.292617324,8.191461607
b3993,10.46455901,10.30781793,10.42168336,9.740855055,9.813478361,10.01532107
b3011,9.289607816,9.052912604,9.178239764,9.255694156,9.376567247,9.090775338
b3693,8.091836216,7.852814307,8.016668432,8.304951462,7.707288819,9.413253285
b2066,8.519410491,9.207596287,9.26035372,9.647288407,8.982783085,10.07044563
b2901,9.133065697,9.255246607,9.625410701,9.689701187,9.536524704,9.632379216
b0238,8.715545622,10.14677074,9.842733156,10.51208597,10.06593568,11.24100805
b2716,7.137438817,7.501756741,7.539957733,7.76684131,7.275927832,8.488352222
b3903,6.760079572,7.49719229,7.756535504,8.122941204,7.736671961,8.905855092
b0125,9.095924928,9.782227328,9.652635035,10.40690886,10.32756973,10.55659596
b0474,9.879173071,11.0109423,11.01849843,11.20363228,11.29654251,11.62974764
b2411,8.395859689,8.600892238,8.679068381,9.100303249,8.451841586,9.431295296
b3721,7.2206451,7.774806455,8.005003095,8.525439047,7.868014508,10.02509234
b2518,10.2192767,10.75722899,11.02422188,11.14875598,10.70456235,11.46961453
b1062,9.210830979,10.12265383,10.55421147,10.33525434,10.14702619,10.34262879
b3416,9.431522534,10.90334469,9.330816099,9.061731836,8.78234242,8.60532484
b3996,8.813247993,9.114347633,9.231752296,9.463247991,9.234874197,10.07620655
b1281,8.105926022,9.566671868,9.540663792,9.913443156,9.397262861,9.895120183
b4390,8.913550165,8.916369202,8.979565937,9.312855995,9.058368548,10.47642043
b0639,8.654492857,8.810952434,8.88529041,9.19023655,8.890545983,9.737786293
b0720,10.46309362,9.697673655,9.550474318,9.059346131,9.563185854,8.420415603
b1398,8.420196557,7.849855001,8.132971097,7.897299853,7.523195433,8.739481493
b1136,12.16857764,12.12567746,12.48045425,12.18031871,12.22784623,12.29157319
b0049,8.087577848,7.939689843,8.086503773,8.354901057,8.11589353,9.419369402
b2103,9.825709232,9.496179522,9.610465549,9.551826478,9.149369701,10.16530762
b1241,10.92121617,11.01951635,10.95925587,10.60110991,10.21814695,10.30111838
b2418,8.370128592,8.961518327,9.22111645,9.104762641,9.18398273,8.967215506
b0351,6.783825143,7.260515373,7.35134448,7.544616679,7.142125479,8.458388759
b3831,9.331903624,9.62807763,9.837692714,10.12456412,9.894231226,10.72159223
b3784,8.449927414,8.996041129,9.060477272,9.5708835,9.269967551,10.60238964
b4069,11.3299028,9.226390806,9.601018495,8.64195588,8.177165114,9.178496237
b3052,8.986850118,9.033508753,8.986672467,9.216770516,9.395681341,8.982046348
b2502,8.517174639,8.964031628,8.946770577,9.278575164,9.018150741,10.08240809
b4384,10.47852656,9.919710172,10.29047873,10.31508495,10.21084585,10.44858209
b4226,11.24068484,11.55518017,11.67149492,11.64666309,11.467949,11.87598167
b1896,9.864390729,9.888504287,9.838568106,9.136950656,9.119910357,8.986443517
b2744,8.946779019,8.693834942,8.829660688,8.782219528,8.712592193,8.882566043
b0841,7.90172903,8.588759518,8.542413698,9.085270535,8.611899277,9.578916902
b3403,11.57116128,10.39078542,10.92529955,9.254769849,9.062851931,9.864145289
b1278,7.768164023,7.561896658,7.788319744,7.909828536,7.793268874,8.313700981
b3708,11.34671736,9.079885159,10.07437035,8.551042164,8.059917463,9.704439013
b3008,9.316634154,9.930566533,9.854777853,9.653086693,9.475922201,9.388809661
b1479,9.142224505,9.298398927,9.289617561,9.063372386,9.184285773,8.984773011
b1190,9.764996958,9.400693121,9.233581553,7.957221219,8.463080959,8.796628797
b3614,7.325474205,7.946901564,8.197863285,8.407758363,8.052394741,8.738211245
b3057,8.434652653,8.88552987,8.995945352,9.417868163,9.353284521,10.07339262
b4053,7.957217634,8.353371998,8.607090404,8.771541151,8.308551832,9.981587432
b2379,8.64823995,8.684901448,8.804608162,8.71559238,8.843855528,9.658228238
b3519,8.087313607,8.349408642,8.406277141,8.398243479,8.051445455,9.216333429
b2290,8.947083403,9.111936862,9.28294029,9.644543578,9.271612488,10.04093945
b0910,9.536206131,10.3299923,10.08306137,10.61262232,10.30109075,10.96578845
b1134,8.212100404,8.552066166,8.470985554,8.790715615,8.501448129,9.386031324
b3564,7.735031156,7.992795292,8.085154339,8.295263923,7.810730306,8.570061461
b3642,7.574538223,7.995190227,8.390634387,8.917438675,8.255809227,9.768359776
