,WT1,WT2,ALE1,ALE3,ALE4,ALE5,ALE6,ALE7,ALE8,ALE9,ALE10
G0-10202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G0-10525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G0-10528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G0-10529,155621.0,167828.0,27.8873,59.0698,34.4702,23.4889,21.092,40.4627,60.0632,47.8963,46.3645
G0-10530,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G0-10531,207499.0,201746.0,24.4954,67.5415,35.8286,21.8371,22.6648,40.4141,54.2216,49.7877,47.9357
G0-10535,24516.5,60345.3,17.6114,29.4604,10.1006,13.915999999999999,14.4937,9.621960000000001,21.9717,17.3682,21.503
G0-10536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G0-10537,40936.0,67663.3,20.4009,44.8196,17.6668,10.0704,8.69933,10.1942,24.537,22.5276,37.6262
G0-10538,73384.1,101708.0,15.172,38.9117,13.2353,15.1551,14.1008,21.3232,22.0092,28.3518,30.9429
G0-10539,37000.5,23202.8,14.7222,24.0912,8.5008,5.68145,7.888839999999999,15.0916,18.7103,19.3566,22.4036
G0-10540,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G0-10541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G0-10542,273852.0,288337.0,40.2897,78.4622,41.4461,33.3537,31.7286,41.7323,62.1455,59.6791,60.4385
G0-10543,312351.0,264691.0,45.102,79.0616,38.424,38.6945,32.7234,34.7202,63.5673,60.8468,60.8267
G0-10544,255669.0,288450.0,46.7588,75.9439,32.9994,39.6772,34.2517,39.3526,58.355,58.0214,59.4606
G0-10545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G0-10546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G0-10624,41926.8,15968.4,1.68167,3.0171099999999997,2.81774,2.88488,3.2951699999999997,1.33346,1.86487,4.05636,3.4852
G0-8861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G0-8893,0.0,1107260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G0-8894,0.0,0.0,0.0,22.3355,0.0,0.0,0.0,0.0,0.0,0.0,10.0978
G0-8896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G0-8897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G0-8898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G0-8900,0.0,2146750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G0-8902,7584.44,0.0,0.0,4.19581,1.17366,0.0,3.20467,0.0,1.58972,5.17405,4.86492
G0-8903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G0-8906,12297.2,0.0,1.47947,4.1384300000000005,2.70289,1.61594,1.21498,0.0,2.5112099999999997,2.1923,2.44658
G0-8907,0.0,0.0,0.0,2513.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G0-8908,91582.4,30612.9,0.0,0.0,0.0,6.65194,0.0,0.0,0.0,9.92659,5.36892
G0-8911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G0-8912,566586.0,442463.0,2.29786,19.9277,0.0,10.3147,16.7403,0.0,7.610130000000001,21.2298,20.9583
G0-9281,0.0,0.0,,,,,,,,,
G0-9381,5851280.0,7375040.0,1301.06,1401.36,0.0,1740.45,2645.45,0.0,0.0,0.0,0.0
G0-9383,760702.0,1412950.0,251.387,167.00900000000001,99.1222,235.102,0.0,0.0,189.86599999999999,109.238,140.928
G0-9384,0.0,2537500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G0-9385,761563.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G0-9387,2950510.0,3893160.0,1451.31,2959.5,1855.46,2425.04,1724.16,0.0,3243.48,2211.12,2063.55
b0001,44230700.0,54249700.0,0.0,0.0,0.0,0.0,24129.6,0.0,14000.8,0.0,0.0
b0002,5903230.0,6828480.0,1316.77,1413.25,1464.57,1609.09,1817.91,1362.52,1040.33,1303.92,1421.02
b0003,4255270.0,5010120.0,1372.14,1105.92,1163.42,1349.63,1359.75,1054.17,686.7560000000001,907.4060000000001,1052.55
b0004,4398870.0,4961880.0,1229.55,1130.39,1155.43,1420.32,1421.6,777.677,739.293,931.0260000000001,1086.39
b0005,279262.0,345581.0,300.85,157.045,194.00799999999998,216.72299999999998,403.957,198.62599999999998,101.744,196.28400000000002,164.49
b0006,643077.0,646356.0,72.4653,120.255,100.179,93.7924,94.5248,51.1062,112.61200000000001,127.021,90.29299999999999
b0007,46329.0,50566.5,3.7341699999999998,48.665,7.86782,4.68011,2.24648,6.52104,36.4022,33.6216,45.3009
b0008,8659010.0,7751160.0,1434.49,2727.82,1956.98,1969.3,1521.73,2052.59,3447.58,2107.05,2184.66
b0009,331386.0,305083.0,116.59299999999999,165.185,78.6215,92.8227,75.5916,142.483,108.181,100.015,134.583
b0010,209419.0,230479.0,52.1466,30.2676,25.5954,29.3203,38.7163,33.8281,37.1793,28.2068,31.6968
b0011,5982.59,33179.2,1.20347,4.16191,1.55494,3.28465,2.55341,1.4688299999999999,4.61764,2.9861299999999997,2.24572
b0012,0.0,5645.46,1.24472,0.0,0.0,0.0,0.0,0.0,0.0,0.515442,0.577091
b0013,0.0,7519.0,0.558412,1.90513,0.0,0.9326530000000001,0.7152,0.0,1.44402,2.1661200000000003,0.803758
b0014,1881810.0,1951880.0,463.42400000000004,1718.59,1855.61,2592.62,521.903,558.251,1172.33,495.35400000000004,1917.54
b0015,496789.0,573149.0,178.482,260.07099999999997,462.875,526.93,188.16,126.19,168.771,116.853,259.116
b0016,242816.0,196589.0,55.3586,37.1894,65.635,64.26899999999999,60.668,39.97,28.6017,35.4487,32.3969
b0018,0.0,90636.0,19.1817,31.1214,0.0,0.0,0.0,0.0,14.2741,24.3076,38.6299
b0019,231259.0,248049.0,34.3799,29.6903,25.7947,35.2345,25.9527,22.6419,14.8834,29.0966,31.0122
