Gene ID,0 nM,1 nM,5 nM,10 nM,15 nM,20 nM,50 nM,100 nM,500 nM
YHR055C,0,0,0,0,0,0,0,0,0
YHR055C,0,0,0,0,0,0,0,0,0
YPR161C,45.7471198,44.88942103,40.84394647,38.1610891,40.75321408,43.73941832,37.65851721,38.11586072,41.31754039
YOL138C,17.37843144,20.52389954,19.75683891,19.96278126,20.75858372,20.3198097,19.47118044,18.01946908,18.77383397
YDR395W,114.8160201,113.5850956,119.7778245,118.3516444,115.1356444,123.1550023,112.8607369,101.1965151,106.0748117
YGR129W,24.98578533,22.89770451,23.704605,20.74826045,21.81093528,24.07182084,20.18843412,19.28862547,18.40749756
YPR165W,467.0626127,438.0339419,477.2294197,455.6055254,493.4106994,493.7252647,638.4921068,757.9368863,830.1694616
YPR098C,29.25097875,33.53649242,25.48186668,31.47665705,29.35600269,26.65983081,33.28472012,35.00921956,39.22996179
YPL015C,30.42170275,36.9184777,34.20515159,34.54077988,23.55935491,23.08104142,21.6589319,24.62083164,33.87229189
YCL050C,248.0603506,249.6391413,257.5056039,256.1440294,245.1276926,264.4030427,277.3053479,279.8095414,268.9619219
YAL069W,0,0,0,0,0,0,0,0,0
YMR193W,65.30099888,59.55641881,65.00420414,60.92302138,55.99455754,58.01710902,52.68312304,53.25903524,37.83949703
YLR031W,3.330866025,3.450655625,1.741388045,2.084491384,2.719361856,2.127659574,2.877741427,4.775410975,5.500146671
YIL014C-A,38.28256493,36.41137676,39.24425171,42.44219188,39.4451809,46.88982247,37.54666321,33.29238456,37.27487935
YGR053C,6.332081124,4.541403407,5.417072947,6.172641936,6.800002386,8.200615046,7.176110727,8.284657006,6.997444726
YCR101C,4.349306002,6.758583401,6.956307915,6.390411543,5.187298529,7.60987731,6.810175641,9.759964036,10.86646982
YER087C-B,100.701989,117.5263623,86.15019446,81.19430149,65.90797446,56.62319835,76.60948316,76.13582893,84.45386501
YOR280C,26.94300518,25.56360709,31.80407801,30.03404669,30.07614213,31.59574468,28.6259542,33.02269044,31.31416838
YGR097W,32.71478491,35.52971576,27.72967178,30.14433083,35.29689529,35.7496289,37.10771841,47.86853115,52.28976649
YHR215W,1.920385259,1.262534964,1.074192586,1.52535839,1.302502614,1.031224883,1.450907633,1.386239951,1.75628347
YKL025C,28.00316116,26.21979294,25.08704378,25.95305931,26.33917791,23.29051579,24.00185359,24.68079897,24.57217725
YKR011C,19.14314875,15.32901996,13.03467223,14.02758575,10.90820364,13.71648585,21.02454276,33.53003267,38.51312252
