,con20.9%,con2.8%,con1%,con0.5%,con0%
YAL001C,9.069692334,8.909368625,9.109325587,9.123244127,9.299525674
YAL002W,8.616712121,8.510222096,8.641531079,8.949299899,8.816610152
YAL003W,13.27145221,13.34718467,13.37526998,13.3216561,13.28267637
YAL005C,13.97322726,13.49965738,13.80141457,13.95988996,13.55114194
YAL007C,9.568696102,10.02654369,9.825173663,9.65129398,10.28603028
YAL008W,9.501317501,9.200564775,9.369665894,9.330935509,9.289406957
YAL009W,8.459266562,8.249852432,8.287397678,8.194215331,8.33020214
YAL010C,7.927231562,7.799668643,7.7233951,7.823696543,7.883289341
YAL011W,7.704315735,7.760319523,7.75342067,7.901225357,7.656780304
YAL012W,11.6060672,11.85669544,11.84853063,11.85262372,12.05999018
YAL013W,10.27509499,10.08781706,10.22334168,10.24550778,9.941007349
YAL014C,9.433729502,9.559693588,9.681741569,9.69092543,9.685670683
YAL015C,8.988033933,8.617621308,8.657319474,8.643754228,8.493182721
YAL016C-B,4.727668671,4.566250666,4.505271725,4.597459079,4.655911383
YAL016W,10.98077729,10.76951731,10.74863879,10.61672225,10.65524049
YAL017W,9.881990516,9.729924989,9.841185375,10.06982693,10.06784315
YAL018C,5.252525928,5.301490508,5.402872474,5.379685435,5.052401253
YAL019W,7.435499344,7.646931314,7.530317128,7.397986479,7.779236471
YAL020C,9.118671059,8.888727844,8.917876691,9.077617196,8.831163197
YAL021C,9.538949987,9.781138391,9.72629267,9.643309652,9.492994976
YAL022C,9.405098193,9.569648708,9.530488182,9.57114849,9.549965572
YAL023C,10.92438193,11.20162442,11.24549947,11.35335684,11.589014
YAL024C,7.559781184,7.756714535,7.804089224,7.793502004,7.88974075
YAL025C,6.901424194,7.532831227,7.439699108,7.354634688,7.462864702
YAL026C,9.165089846,9.209970169,9.238456695,9.243277523,9.497056105
YAL027W,8.987129678,8.895337846,8.783852784,8.611172705,8.253333493
YAL028W,8.351214876,7.269579644,7.552070809,7.791598735,8.650614778
YAL029C,9.370366586,10.00597261,9.902891332,9.949718502,10.23807114
YAL030W,10.84587208,10.57946132,10.56235081,10.54777182,10.32557463
YAL031C,9.266482479,8.975651546,9.129832069,9.24879094,9.072121917
YAL032C,8.864278903,8.412131004,8.356135885,8.493988075,8.479495451
YAL033W,8.802663755,9.864001402,9.807757811,9.667544232,9.903830491
YAL034C,10.62885755,9.420441003,9.715584655,9.803524084,9.351885564
YAL034W-A,7.63979185,8.032566698,7.934301901,7.950095509,7.681761447
YAL035W,11.71543254,11.97153173,11.99031318,12.10288191,12.18474917
YAL036C,10.33321544,10.59840861,10.51078478,10.46720121,10.60006392
YAL037C-A,4.245222582,4.334150074,4.325917573,4.270594955,4.486537493
YAL037W,5.995913648,6.309980147,6.224357041,6.518670241,6.699036599
YAL038W,13.88733042,13.75285443,13.73794784,13.76020732,13.92007151
YAL039C,10.67377316,10.8302259,11.03734042,11.13363913,10.28216917
YAL040C,9.36209747,10.16907164,10.36474796,10.29115983,9.445281786
YAL041W,9.165043384,8.942817583,8.927549478,9.034563611,9.151863652
YAL042W,10.56225634,10.49046432,10.49288795,10.61986452,10.91985619
YAL043C,9.133295952,9.033771714,9.032281187,9.063667579,9.026058936
YAL044C,11.96597551,12.265601,12.02924858,11.97612427,12.00895861
YAL044W-A,10.50700045,10.57665062,10.52968672,10.67993286,10.38322791
YAL046C,9.318711978,9.82863945,9.932340859,10.01096483,9.726254075
YAL047C,6.874983324,6.794508136,6.742757996,6.895516394,6.800683443
YAL048C,5.730180828,5.813776445,5.698809617,5.647435345,5.689487681
YAL049C,11.03646428,10.87549203,10.9505136,10.92516739,9.559815737
YAL051W,8.588636221,8.431854128,8.403699236,8.47756775,8.187672181
YAL053W,10.53193288,10.16181993,10.11486502,10.15526122,9.741396892
YAL054C,13.64886192,11.41554375,9.915861992,9.756437034,9.90066564
